brand,model,note,asin,date,price
LG,38BK95C-W,,B07CMGQC76,2018-05-04 11:52:00,1410.91
LG,38BK95C-W,,B07CMGQC76,2018-05-07 23:02:00,1428.71
LG,38BK95C-W,,B07CMGQC76,2018-05-09 11:52:00,1427.57
LG,38BK95C-W,,B07CMGQC76,2018-05-11 12:22:00,1426.08
LG,38BK95C-W,,B07CMGQC76,2018-05-11 17:48:00,1425.86
LG,38BK95C-W,,B07CMGQC76,2018-05-11 23:00:00,1425.63
LG,38BK95C-W,,B07CMGQC76,2018-05-12 10:12:00,1425.11
LG,38BK95C-W,,B07CMGQC76,2018-05-12 14:08:00,1424.95
LG,38BK95C-W,,B07CMGQC76,2018-05-12 18:26:00,1424.75
LG,38BK95C-W,,B07CMGQC76,2018-05-13 03:08:00,1424.3
LG,38BK95C-W,,B07CMGQC76,2018-05-13 14:36:00,1423.87
LG,38BK95C-W,,B07CMGQC76,2018-05-13 23:42:00,1423.41
LG,38BK95C-W,,B07CMGQC76,2018-05-14 16:08:00,1422.66
LG,38BK95C-W,,B07CMGQC76,2018-05-14 19:24:00,1422.5
LG,38BK95C-W,,B07CMGQC76,2018-05-15 13:20:00,1421.83
LG,38BK95C-W,,B07CMGQC76,2018-05-16 03:16:00,1421.26
LG,38BK95C-W,,B07CMGQC76,2018-05-16 22:52:00,1420.44
LG,38BK95C-W,,B07CMGQC76,2018-05-18 07:00:00,1419.02
LG,38BK95C-W,,B07CMGQC76,2018-05-18 14:42:00,1418.7
LG,38BK95C-W,,B07CMGQC76,2018-05-19 04:12:00,1418.05
LG,38BK95C-W,,B07CMGQC76,2018-05-19 11:00:00,1417.74
LG,38BK95C-W,,B07CMGQC76,2018-05-20 12:16:00,1416.62
LG,38BK95C-W,,B07CMGQC76,2018-05-21 12:04:00,1415.65
LG,38BK95C-W,,B07CMGQC76,2018-05-22 16:42:00,1414.67
LG,38BK95C-W,,B07CMGQC76,2018-05-23 16:46:00,1413.62
LG,38BK95C-W,,B07CMGQC76,2018-05-24 09:26:00,1413.48
LG,38BK95C-W,,B07CMGQC76,2018-05-30 09:50:00,1409.5
LG,38BK95C-W,,B07CMGQC76,2018-06-04 08:24:00,1409.42
LG,38BK95C-W,,B07CMGQC76,2018-06-09 08:52:00,1428.18
LG,38BK95C-W,,B07CMGQC76,2018-06-10 03:00:00,1427.23
LG,38BK95C-W,,B07CMGQC76,2018-06-10 13:16:00,1426.96
LG,38BK95C-W,,B07CMGQC76,2018-06-11 00:36:00,1426.82
LG,38BK95C-W,,B07CMGQC76,2018-06-11 12:14:00,1426.59
LG,38BK95C-W,,B07CMGQC76,2018-06-11 15:04:00,1426.54
LG,38BK95C-W,,B07CMGQC76,2018-06-11 19:56:00,1426.44
LG,38BK95C-W,,B07CMGQC76,2018-06-12 01:48:00,1394.85
LG,38BK95C-W,,B07CMGQC76,2018-06-15 18:16:00,1394.83
LG,38BK95C-W,,B07CMGQC76,2018-06-22 19:08:00,1394.84
LG,38BK95C-W,,B07CMGQC76,2018-07-02 00:58:00,1394.83
LG,38BK95C-W,,B07CMGQC76,2018-07-02 23:26:00,1394.77
LG,38BK95C-W,,B07CMGQC76,2018-07-09 22:16:00,1300.0
LG,38BK95C-W,,B07CMGQC76,2018-07-10 04:56:00,1394.78
LG,38BK95C-W,,B07CMGQC76,2018-07-11 12:00:00,1394.72
LG,38BK95C-W,,B07CMGQC76,2018-07-25 15:12:00,1099.0
LG,38BK95C-W,,B07CMGQC76,2018-09-01 02:58:00,1249.99
LG,38BK95C-W,,B07CMGQC76,2018-09-04 13:04:00,1206.24
LG,38BK95C-W,,B07CMGQC76,2018-09-10 09:42:00,1206.22
LG,38BK95C-W,,B07CMGQC76,2018-09-10 14:44:00,1206.19
LG,38BK95C-W,,B07CMGQC76,2018-09-10 16:10:00,1206.18
LG,38BK95C-W,,B07CMGQC76,2018-09-10 17:46:00,1199.99
LG,38BK95C-W,,B07CMGQC76,2018-09-10 18:36:00,1189.99
LG,38BK95C-W,,B07CMGQC76,2018-09-10 19:32:00,1188.99
LG,38BK95C-W,,B07CMGQC76,2018-09-10 20:20:00,1050.0
LG,38BK95C-W,,B07CMGQC76,2018-09-12 03:24:00,1128.89
LG,38BK95C-W,,B07CMGQC76,2018-09-12 05:04:00,1206.24
LG,38BK95C-W,,B07CMGQC76,2018-09-12 05:48:00,1206.23
LG,38BK95C-W,,B07CMGQC76,2018-09-12 07:32:00,1206.22
LG,38BK95C-W,,B07CMGQC76,2018-09-12 08:24:00,1206.24
LG,38BK95C-W,,B07CMGQC76,2018-09-14 04:08:00,1249.99
LG,38BK95C-W,,B07CMGQC76,2018-09-24 23:44:00,1247.99
LG,38BK95C-W,,B07CMGQC76,2018-09-26 17:22:00,1213.67
LG,38BK95C-W,,B07CMGQC76,2018-10-01 17:24:00,1206.24
LG,38BK95C-W,,B07CMGQC76,2018-10-06 13:22:00,1061.99
LG,38BK95C-W,,B07CMGQC76,2018-10-09 17:32:00,1059.99
LG,38BK95C-W,,B07CMGQC76,2018-10-17 18:24:00,1061.99
LG,38BK95C-W,,B07CMGQC76,2018-11-09 07:44:00,1061.0
LG,38BK95C-W,,B07CMGQC76,2018-11-13 09:40:00,1060.99
LG,38BK95C-W,,B07CMGQC76,2018-11-19 17:42:00,1061.0
LG,38BK95C-W,,B07CMGQC76,2018-11-20 02:52:00,857.99
LG,38BK95C-W,,B07CMGQC76,2018-11-20 22:36:00,1292.81
