Brand,Model,Star,Title,Date,Pros,Cons,Other
AMD,YD270XBGAFBOX,4,Fantastic package,2019-02-20,"Pros:This CPU is a powerhouse. Paired with my Crosshair VII Hero motherboard, overclocking it to get the most out of the cores and the RAM, alongside a RTX 2080 has me running all current triple-A games well beyond 60FPS at maximum settings.Installation was a breeze. Chip slid right in and the heatsink/fan that came with it snapped right on to the motherboard's mounts with zero issues.The LEDS are beautiful and absolutely mesmerizing to watch.","Cons:The fan is VERY loud when under loads. It's not a consistent noise, but it will do a sporadic burst of high RPM that hits nearly 56dba to quickly cool down the processor, then it quiets down for a few minutes thereafter.","Other Thoughts:I would certainly recommend this to anyone looking to get a great CPU for their money. Keep in mind, if you don't like a noisy cooling system, you might want to look into a different one than the one that comes with the CPU."
AMD,YD270XBGAFBOX,5,Smoking fast,2019-02-19,Pros:It does everything but drive me to work !,Cons:No pretty stickers to put on the side of my case.,Other Thoughts:Yes Yes Yes Get this CPU you won't be disappointed.
AMD,YD270XBGAFBOX,5,Great piece of hardware,2019-02-18,Pros:Runs very well for gaming and multitasking.,Cons:None so far,Other Thoughts:I would absolutely recommend and have this item.
AMD,YD270XBGAFBOX,5,Great Product! Easy to Setup and Use!,2019-02-18,Pros:what you liked about the product: everythingmy job (taking over the world) was definitely made easier by the product!not there yet but almost lol,Cons:- What did you not like about the product?liked everything!How could it be improved?i dunno! f f s ! i dont work in the computer hardware industry lol- Let others know if any of the problems you encountered can be resolved or avoided.no problems thus far so stop bringing that sh 1 T  up!- Be sure to include any bugs or defects.Again none,None
AMD,YD270XBGAFBOX,5,Great for gaming,2019-02-17,Pros:i got mine to OC at 4.1GHZ at 1.35V stable,Cons:none,None
AMD,YD270XBGAFBOX,4,Would have worked great.,2019-02-16,Pros:It's fast,Cons:The pins are fragile. Wish they'd stop using pins,"Other Thoughts:I know this is a great CPU, I know it would have done everything I asked of it. I know that it, in many ways is superior to Intel. I just wish they didn't use pins. Accidents do happen, pins do get bent, and when they do, AMD doesn't do anything to help you..You'd think they'd plan ahead for accidents to happen knowing that they use pins instead of pads. That people aren't perfect. Instead, they'd rather leave you hanging with a $300 gold plated paperweight that you spent months saving up for, and that is so heartbreaking...This new build was suppose to be a chance to make some money from home ""I'm disabled"" and now I can't...So yea, I only docked the one point because of the pins and how unwilling AMD is to help you if you have any kind of accident...If I ever get a chance to buy a new one ""Which will take who knows how long"" I'll update this review."
AMD,YD270XBGAFBOX,5,Great processor hard to overclock,2019-02-14,Pros:Been using this for several months now and I have to say it is a fast processor.One thing to keep in mind is that its internal built features it keeps track of how hot it is and will downclock itself if it gets to hot. I've noticed the better the cooling the more it overclocks itself and keeps the overclock (yes it does this on its own and does not need anyone to tweek the settings).,Cons:If you try and manually overclock it you may have issues trying to get it stable. It is really not needed. You should focus more on keeping it as cool as you can so it can overclock itself.,Other Thoughts:None
AMD,YD270XBGAFBOX,5,Big power savings,2019-02-11,"Pros:Despite the fact that it's listed at 105W, this saves a lot of power over an FX 8350 both at idle and at max throughput. I assume that's because it calculates & completes OS requests so much faster, therefore obviating the need to keep it running at higher wattage for longer periods of time. I discovered this pleasant surprise by monitoring a UPS regularly for the first few weeks.","Cons:It is often said that AMD does not support using the 2700x on Windows 7, when in fact they leave that up to the motherboard manufacturers and Microsoft. If it doesn't work on Windows 7, the motherboard makers and Microsoft will just point fingers at each other.",None
AMD,YD270XBGAFBOX,5,Great Processor,2019-02-11,Pros:- Price is very good- Runs great- AMD Wraith Prism Cooler is wonderful and not very loud- Upgraded my computer with this and it is doing a wonderful job and stays a lot cooler than my older processor,Cons:None that I can think of,Other Thoughts:I would highly recommend this product!
AMD,YD270XBGAFBOX,3,Works almost perfectly... Almost a full RG(B) cooler.,2019-02-10,Pros:The CPU was able to hold an overclock of 17% and remain fairly cool in the process. Flawlessly installed and easyA Value for sure and worth buying.,Cons:Well.... Here is the almost. The Wraith cooler that is on the CPU is beautiful if it wasn't for the BLUE LED not working. This absolutely sucks.I would think that the tech would have spotted this in the testing before shipping but they didn't. The CPU has won the silicone lottery but the LED Wraith Cooler is a huge disappointment.,Other Thoughts:I would recomend this CPU but would be really careful if you are needing the RGB lighting for a special build as you might run into problems with it being able to produce the effect that is necessary for your install.
