Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
DELL,E7440,5,,2018-02-17,Pros:Computer is in great condition. Battery came faulty but they were quick to send a new one. Over all very satisfied with the product.,Cons:N/A,,0,0
DELL,E7440,4,Met my EXPECTATION! SPECS ON POINT !!!!,2018-01-26,"Pros:Laptop arrived on time!; laptop is in good condition. Keyboard and palmrest are in excellent condition.  No damages, no dent or crack. love It!",Cons:Took me couple of hours to activate windows. Laptop restarted several times before activating windows.,Other Thoughts:Definitely recommend to all!,0,0
DELL,D620,4,"bargain basic notebook/laptop, recommended!",2017-07-16,Pros:very pleased with NewEgg service and shipping; product is an off lease Dell but was clean and securely packed; has enough power to run Windows 10 (included) with 4GB RAM and even a DVD-RW usually missing from newer models.  A real bargain at less than CDN$200 INCLUDING all shipping and taxes.,"Cons:no local Toronto area pick-up was offered, but as shipping was only $1.99 via Purolator this was not a problem; there are slimmer and lighter models out there but they will cost you; the power supply has a very big and heavy transformer attached, so don't expect a lightweight package, but for business road warriors with a roller case it's just fine","Other Thoughts:recommended, four eggs out of five",0,0
DELL,D620,4,DELL Laptop Latitude D620 Intel Core Duo 1.66 GHz,2017-06-03,"Pros:Windows 10 32-Bit O/S is already installed. App's were easy to set up and install. Performance seems to be good when connected directly using the RJ45. Multitasks just fine.  For what I use it for it works for me. It's small, compact and takes up very little desk space.",Cons:When connected using WIFI it has a slight slower speed but not to bad. I presume depending on the strength of your WIFI Routing Device would make a difference as each device performs differently.,Other Thoughts:I would Recommend this Product.,0,0
HP,8560W,5,"Great product, fair price, on-time delivery!",2017-05-28,"Pros:This laptop is exactly as I expected/hoped for. Even though it's refurbished, it looks like new. Runs perfectly and it's fast (SSD drive, 8 GB of RAM and an i7 CPU).","Cons:I've had it for about 3 weeks and use it extensively and the only ""wish"" I have is that the battery life was longer (it's just over 3 hours), but with an i7 CPU, you're not going to get battery endurance much longer than that - it's a trade-off, speed for battery life.",Other Thoughts:This was a very good experience! I definitely recommend the product and Newegg!!,0,0
HP,8560W,5,"Much like past boyfriends, this comp. isn't much to look at, but it's pretty amazing otherwise.",2015-11-29,Pros:Super fast and I run multiple editing programs and animation programs.,Cons:It's not a diva machine for people who want to pretend like they're working on important things at Starbucks. It's a workhorse for people doing real work.,"Other Thoughts:I love this computer, maybe more than any I've owned. I'm a designer and my fiancé has been a programmer for more than 20 years and he's pretty jealous of my new baby.",0,0
DELL,E5440,5,Joy Systems refurbished E5440,2018-04-23,Pros:We bought this from Joy Systems and the packaging is professional. Comes wrapped and protected. Body is clean with very little scuffs.Powers up fine and works great.Cheap price.Comes with instructions and a refurbished Windows 10 key.Comes mostly charged.,Cons:Nothing I could really think of.,,0,0
DELL,E5440,5,Excellent Price and performance,2018-04-23,"Pros:Decent battery life, good price, decent power",Cons:Sometimes the keycap/wrist rest decals are not applied properly.,Other Thoughts:We purchase a large number of these laptops for our clients are are very rarely disappointed.,0,0
HP,9470M,5,Great Product,2016-01-31,Pros:This computer is amazing.........perfect. This is one of the best computers I have ever owned. The quality of the HP 9470 including the hardware is second to none and the HP support was amazing.,Cons:none,,0,0
HP,9470M,4,Nice,2015-12-14,Pros:I like the size of the laptop.  The keyboard lights up which I didn't expect.,Cons:The driver for the touchpad was not installed and not readily available.  I had to make some calls to the company that actually refurbished the computer.  They sent me a link that I was able to do what I had to do.,,0,0
