EVGA,06G-P4-6163-KR,5,Great video card,2019-02-14,Pros:-awesome performance for the price-evga warranty/support,Cons:-none,Other Thoughts:Card is a couple years old now but has performed flawlessly in that time. No complaints at all and EVGA is always the best for customer service if there is ever a problem.
EVGA,06G-P4-6163-KR,5,"This card is really a great gaming video card; it's super fast, easy to setup, complarably small in lenght, and I would highly recommend it as well as Newegg as the seller!!!",2019-01-19,"Pros:it's small in length, super fast, and easy to setup..",Cons:none!!,Other Thoughts:I would highly recommend it as well as Newegg as the seller!!!
EVGA,06G-P4-6163-KR,5,Great,2019-01-08,Pros:SizePrice,Cons:No backplateNot great for overclocking,"Other Thoughts:Bought this for a friends build with a 2200g and it gets about 100fps on fort at ultra. Very quiet, great price and aesthetically pleasing."
EVGA,06G-P4-6163-KR,5,Very nice card and best P/C,2018-12-22,"Pros:Good price: Bought for 329.99$ plus 20$ MIR, and also have a free Monster Hunter: World comes as a gift from Nvidia.Proper performance: A default frequency from 1607-1835, which is the best among all 1060 products, which helps run well on my games such as World of Warships, PUBG, Watchdog, Just Cause 3, etc.Perfect size for any build.Better energy consumption compared with RX 580 or 590.Nice EVGA boost software, easy access and easy usage.",Cons:Not that much strong compared with 20 series and also the brand new RTX 2060 is coming early 2019.,"Other Thoughts:Suggest this card for less than CDN 360$.BTW, I love Newegg, saves me a lot from Quebec."
EVGA,06G-P4-6163-KR,3,Great Performance but the fan stop working,2018-12-17,Pros:- Great for last games in 1080p- Quiet,"Cons:After 1 year, the fan break.",None
EVGA,06G-P4-6163-KR,4,Fits in my MicroATX build,2018-12-16,Pros:Short. You get good value with all the heat pipes. Overclocked. The fan is off until it needs it. Faster than I need.,Cons:The manual is poor. It's generic and for many different models. Included poster isn't as cool as I would expect. Bundled game cannot be resold and is Windows only. Playing the game requires creating accounts on NVidia and Steam.The card is as tall as the spec. allows and the 6-pin power connector comes out the top.,Other Thoughts:Tom's Hardware describes a modification you can make to the heat sink.
EVGA,06G-P4-6163-KR,5,Good small form 1060,2018-12-13,Pros:Perform great on mini ITX form factor,Cons:So far so good,None
EVGA,06G-P4-6163-KR,5,Great Card,2018-12-02,Pros:Card works great and most of my games work on Max settings coupled with my old reliable FX8350 and 32 GB of Ram.,Cons:No complaints,None
EVGA,06G-P4-6163-KR,5,Nice Card,2018-12-01,Pros:Small sizeEasy to installcheaper than local market priceLow power consumptionOverclock version3 year warranty,Cons:Not a double-fan versionNo backplate,None
EVGA,06G-P4-6163-KR,5,Good quality powerful card,2018-11-30,"Pros:Quality build, powerful, quiet and cool",Cons:Had problems booting but fixed now,"Other Thoughts:This is a great card. Cool, quiet, well made and powerful. Great buy. Got it for 209."
EVGA,06G-P4-6163-KR,1,Couldnt get to work,2018-11-29,Pros:Looks nice and is small,"Cons:Could not get it to work in windows 10. Windows was very unstable and would crash everytime about 10 minutes after boot. Tried reinstalling windows still wouldnt work. Tried to download drivers but could not because windows would crash. Couldnt find a fix so I threw it in the trash.  Put back in my old card, system works great.","Other Thoughts:I dont know, it would not work, didnt seem damaged. But i just cant deal with this many problems. A gpu today should be plug and play, or at least tell you what is the problem."
EVGA,06G-P4-6163-KR,5,Excellent card with only one real annoyance,2018-11-23,"Pros:Excellent performance, paired with a great price.","Cons:Having only one hdmi port and three display ports is a bit bizarre to me, and unfortunately I am going to need a secondary hdmi port, so I'll need to buy a converter. Again, just kind of an annoyance, but the rationale kind of racks my brain.",None
EVGA,06G-P4-6163-KR,5,"Great performance for price, very quiet",2018-11-20,"Pros:- Very quiet, fan doesn't even turn on below around 58 C, and I haven't seen the temp go above 70 C yet.- Easy to install, small enough for many PCs if upgrading- Better performance than I expected. Good FPS in Cities Skylines on near-max settings (uses 4-5 GB of the GPU RAM).- Requires only a moderate power supply (it says 400 W minimum in manual)",Cons:- None,None
EVGA,06G-P4-6163-KR,5,Great product for the price.,2018-11-18,Pros:-Fast-Small-Relatively quiet-Only requires a single 6-pin PCIe power-Has the firmware that doesn't shut down the fan-About 10-15% faster than the EVGA 970 SSC,"Cons:-I payed MSRP.-It won't make me a cup of coffee in the morning nor give me a hug when I'm feeling blue.-I think it's dying...every now and then, (no real rhyme or reason) the screen will fill up with a pattern of faint white dots and streaks.  This may last for a few seconds up to several minutes, then everything will be fine again.Edit:  It was the monitor that was dying.","Other Thoughts:I bought this to replace my EVGA 970 SSC which went to my little sister. I wanted something that was a little more power efficient and had a little more oomph. It certainly met up with my expectations, aside from the minor nagging problems with the patterning on the screen. Power consumption in gaming with my core i7 4790K rarely exceeds 200W at the wall."
EVGA,06G-P4-6163-KR,5,Great card for it's price and size,2018-11-17,Pros:-had it for almost a year and no problems-great cooling for a single fan-fairly quiet-love the double ball bearing fan,Cons:-none yet.,Other Thoughts:-definitely would buy again if I had to
EVGA,06G-P4-6163-KR,5,Excellent card,2018-11-12,Pros:Limited volume (not too long)Only (1) 6 pin connectorWorks great on in a Dell XPS w/460W PSPriced well with rebate,Cons:None yet.,None
EVGA,06G-P4-6163-KR,5,works as expected,2018-11-11,Pros:works as expected. great product. competitive price. thank you.,Cons:n/a,Other Thoughts:n/a
EVGA,06G-P4-6163-KR,4,"Good card, but slightly noisy fan",2018-10-22,"Pros:Easy to set up - plugged it in, turned PC on, ran NVidia graphics driver updater, done.Small - looks like it would fit in just about any PC (but check with the manufacturer before cramming it in a mITX case)Powerful - this card has more than enough power to play anything I want (though I only have a 60Hz 1080p screen). I'm glad I went with the 6GB version over the 3, since it's not much more expensive.","Cons:I think this is typically of all single-fan powerful cards, but you can almost always hear that fan going, especially under load. It's not like, really loud, but you can definitely hear it over any of the other noises in your computer. If you've got the dough, I'd get a double-fan version. But if you're on a budget and/or you don't mind a little fan noise, it's not too bad.",None
